# Particle id
# Time in code units
# x in code units
# y in code units
# z in code units
# vx in code units
# vy in code units
# vz in code units
#id   t              x              y              z              vx             vy             vz          
0     0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     0.000000e+00   8.775826e-01   4.794255e-01   0.000000e+00  -3.012335e+00   5.514041e+00   0.000000e+00
0     9.957531e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     9.957531e-02   4.305885e-01   9.025504e-01   0.000000e+00  -5.670883e+00   2.705504e+00   0.000000e+00
0     1.996177e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.996177e-01  -1.824128e-01   9.832289e-01   0.000000e+00  -6.177767e+00  -1.146067e+00   0.000000e+00
0     2.996431e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.996431e-01  -7.256107e-01   6.881236e-01   0.000000e+00  -4.323560e+00  -4.559019e+00   0.000000e+00
0     3.996653e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.996653e-01  -9.915204e-01   1.300781e-01   0.000000e+00  -8.173054e-01  -6.229729e+00   0.000000e+00
0     4.996889e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.996889e-01  -8.785529e-01  -4.776799e-01   0.000000e+00   3.001285e+00  -5.519944e+00   0.000000e+00
0     5.997104e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     5.997104e-01  -4.298813e-01  -9.028992e-01   0.000000e+00   5.672997e+00  -2.700914e+00   0.000000e+00
0     6.997257e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     6.997257e-01   1.830152e-01  -9.831149e-01   0.000000e+00   6.177050e+00   1.149998e+00   0.000000e+00
0     7.997329e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     7.997329e-01   7.259494e-01  -6.877424e-01   0.000000e+00   4.321209e+00   4.561390e+00   0.000000e+00
0     8.997327e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     8.997327e-01   9.915449e-01  -1.296810e-01   0.000000e+00   8.147819e-01   6.230232e+00   0.000000e+00
0     9.997279e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     9.997279e-01   8.784043e-01   4.778903e-01   0.000000e+00  -3.002769e+00   5.519352e+00   0.000000e+00
0     1.099719e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.099719e+00   4.297829e-01   9.029202e-01   0.000000e+00  -5.673346e+00   2.700522e+00   0.000000e+00
0     1.199699e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.199699e+00  -1.829164e-01   9.831242e-01   0.000000e+00  -6.177249e+00  -1.149235e+00   0.000000e+00
0     1.299669e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.299669e+00  -7.257229e-01   6.879929e-01   0.000000e+00  -4.322832e+00  -4.559783e+00   0.000000e+00
0     1.399625e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.399625e+00  -9.914847e-01   1.303044e-01   0.000000e+00  -8.187622e-01  -6.229574e+00   0.000000e+00
0     1.499571e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.499571e+00  -8.788910e-01  -4.770503e-01   0.000000e+00   2.997331e+00  -5.522117e+00   0.000000e+00
0     1.599508e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.599508e+00  -4.310036e-01  -9.023620e-01   0.000000e+00   5.669636e+00  -2.707987e+00   0.000000e+00
