# id = 0: COM of central object
# id = 1: COM of all objects
# Time in code units
# comX in code units
# comY in code units
# comZ in code units
# comVelX in code units
# comVelY in code units
# comVelZ in code units
#id   t              x              y              z              vx             vy             vz          
0     0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     0.000000e+00   8.775738e-06   4.794207e-06   0.000000e+00  -3.012304e-05   5.513986e-05   0.000000e+00
0     9.957531e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     9.957531e-02   1.008639e-07   2.114194e-07   0.000000e+00  -1.328385e-06   6.337552e-07   0.000000e+00
0     1.996177e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.996177e-01  -1.706056e-07   9.195867e-07   0.000000e+00  -5.777894e-06  -1.071885e-06   0.000000e+00
0     2.996431e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.996431e-01  -1.476110e-06   1.399850e-06   0.000000e+00  -8.795418e-06  -9.274412e-06   0.000000e+00
0     3.996653e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.996653e-01  -3.394690e-06   4.453514e-07   0.000000e+00  -2.798226e-06  -2.132886e-05   0.000000e+00
0     4.996889e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.996889e-01  -4.364233e-06  -2.372887e-06   0.000000e+00   1.490895e-05  -2.742046e-05   0.000000e+00
0     5.997104e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     5.997104e-01  -2.800449e-06  -5.881910e-06   0.000000e+00   3.695657e-05  -1.759502e-05   0.000000e+00
0     6.997257e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     6.997257e-01   1.448203e-06  -7.779409e-06   0.000000e+00   4.887913e-05   9.099960e-06   0.000000e+00
0     7.997329e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     7.997329e-01   6.552606e-06  -6.207740e-06   0.000000e+00   3.900434e-05   4.117228e-05   0.000000e+00
0     8.997327e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     8.997327e-01   9.662881e-06  -1.263777e-06   0.000000e+00   7.940276e-06   6.071535e-05   0.000000e+00
0     9.997279e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     9.997279e-01   8.783866e-06   4.778807e-06   0.000000e+00  -3.002708e-05   5.519241e-05   0.000000e+00
0     1.099719e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.099719e+00   4.297786e-06   9.029112e-06   0.000000e+00  -5.673289e-05   2.700495e-05   0.000000e+00
0     1.199699e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.199699e+00  -1.829145e-06   9.831143e-06   0.000000e+00  -6.177187e-05  -1.149223e-05   0.000000e+00
0     1.299669e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.299669e+00  -7.257156e-06   6.879860e-06   0.000000e+00  -4.322789e-05  -4.559737e-05   0.000000e+00
0     1.399625e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.399625e+00  -9.914748e-06   1.303031e-06   0.000000e+00  -8.187540e-06  -6.229512e-05   0.000000e+00
0     1.499571e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.499571e+00  -8.788822e-06  -4.770455e-06   0.000000e+00   2.997301e-05  -5.522061e-05   0.000000e+00
0     1.599508e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.599508e+00  -4.309993e-06  -9.023530e-06   0.000000e+00   5.669579e-05  -2.707960e-05   0.000000e+00
0     1.699437e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.699437e+00   1.812606e-06  -9.834289e-06   0.000000e+00   6.179033e-05   1.138969e-05   0.000000e+00
0     1.799364e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.799364e+00   7.243665e-06  -6.893943e-06   0.000000e+00   4.331593e-05   4.551446e-05   0.000000e+00
0     1.899294e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.899294e+00   9.911777e-06  -1.323809e-06   0.000000e+00   8.317463e-06   6.227928e-05   0.000000e+00
0     1.999228e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.999228e+00   8.798754e-06   4.751545e-06   0.000000e+00  -2.985581e-05   5.528598e-05   0.000000e+00
0     2.099165e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.099165e+00   4.328856e-06   9.014253e-06   0.000000e+00  -5.663956e-05   2.720018e-05   0.000000e+00
0     2.199103e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.199103e+00  -1.792637e-06   9.837861e-06   0.000000e+00  -6.181412e-05  -1.126285e-05   0.000000e+00
0     2.299041e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.299041e+00  -7.230214e-06   6.908163e-06   0.000000e+00  -4.340574e-05  -4.542812e-05   0.000000e+00
0     2.398978e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.398978e+00  -9.909411e-06   1.342987e-06   0.000000e+00  -8.438591e-06  -6.226163e-05   0.000000e+00
