# Particle id
# Time in code units
# x in code units
# y in code units
# z in code units
# vx in code units
# vy in code units
# vz in code units
#id   t              x              y              z              vx             vy             vz          
0     0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     0.000000e+00   8.775826e-01   4.794255e-01   0.000000e+00  -3.012325e+00   5.514023e+00   0.000000e+00
0     9.957533e-02   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     9.957533e-02   4.305893e-01   9.025487e-01   0.000000e+00  -5.670878e+00   2.705484e+00   0.000000e+00
0     1.996179e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.996179e-01  -1.824133e-01   9.832242e-01   0.000000e+00  -6.177766e+00  -1.146115e+00   0.000000e+00
0     2.996441e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     2.996441e-01  -7.256129e-01   6.881092e-01   0.000000e+00  -4.323502e+00  -4.559118e+00   0.000000e+00
0     3.996678e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     3.996678e-01  -9.915136e-01   1.300452e-01   0.000000e+00  -8.170985e-01  -6.229805e+00   0.000000e+00
0     4.996939e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     4.996939e-01  -8.785146e-01  -4.777271e-01   0.000000e+00   3.001625e+00  -5.519815e+00   0.000000e+00
0     5.997193e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     5.997193e-01  -4.297922e-01  -9.029324e-01   0.000000e+00   5.673263e+00  -2.700427e+00   0.000000e+00
0     6.997399e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     6.997399e-01   1.831452e-01  -9.830875e-01   0.000000e+00   6.176906e+00   1.150762e+00   0.000000e+00
0     7.997536e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     7.997536e-01   7.260697e-01  -6.876192e-01   0.000000e+00   4.320438e+00   4.562069e+00   0.000000e+00
0     8.997612e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     8.997612e-01   9.915796e-01  -1.294708e-01   0.000000e+00   8.134799e-01   6.230336e+00   0.000000e+00
0     9.997651e-01   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     9.997651e-01   8.782903e-01   4.781184e-01   0.000000e+00  -3.004139e+00   5.518519e+00   0.000000e+00
0     1.099767e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.099767e+00   4.295031e-01   9.030614e-01   0.000000e+00  -5.674145e+00   2.698686e+00   0.000000e+00
0     1.199767e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.199767e+00  -1.833313e-01   9.830498e-01   0.000000e+00  -6.176716e+00  -1.151884e+00   0.000000e+00
0     1.299763e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.299763e+00  -7.261266e-01   6.875630e-01   0.000000e+00  -4.320100e+00  -4.562365e+00   0.000000e+00
0     1.399755e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.399755e+00  -9.915838e-01   1.294940e-01   0.000000e+00  -8.136466e-01  -6.230269e+00   0.000000e+00
0     1.499743e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
1     1.499743e+00  -8.783628e-01  -4.780037e-01   0.000000e+00   3.003364e+00  -5.518877e+00   0.000000e+00
0     1.599727e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00   0.000000e+00
